entity_id,state,last_changed
sensor.buro_rack_monitor_rack_temp_1,31.1875,2026-07-13T07:47:12.767Z
sensor.buro_rack_monitor_rack_temp_1,31.25,2026-07-13T07:47:57.761Z
sensor.buro_rack_monitor_rack_temp_1,31.1875,2026-07-13T07:50:42.762Z
sensor.buro_rack_monitor_rack_temp_1,31.25,2026-07-13T07:50:57.765Z
sensor.buro_rack_monitor_rack_temp_1,31.3125,2026-07-13T07:55:42.765Z
sensor.buro_rack_monitor_rack_temp_1,31.25,2026-07-13T07:55:57.763Z
sensor.buro_rack_monitor_rack_temp_1,31.3125,2026-07-13T07:56:27.764Z
sensor.buro_rack_monitor_rack_temp_1,31.25,2026-07-13T07:56:57.763Z
sensor.buro_rack_monitor_rack_temp_1,31.3125,2026-07-13T07:57:27.844Z
sensor.buro_rack_monitor_rack_temp_1,31.25,2026-07-13T07:58:27.782Z
sensor.buro_rack_monitor_rack_temp_1,31.3125,2026-07-13T07:58:42.769Z
sensor.buro_rack_monitor_rack_temp_1,31.375,2026-07-13T08:07:12.767Z
sensor.buro_rack_monitor_rack_temp_1,31.3125,2026-07-13T08:07:27.933Z
sensor.buro_rack_monitor_rack_temp_1,31.375,2026-07-13T08:08:57.769Z
sensor.buro_rack_monitor_rack_temp_1,31.3125,2026-07-13T08:09:12.767Z
sensor.buro_rack_monitor_rack_temp_1,31.375,2026-07-13T08:09:57.767Z
sensor.buro_rack_monitor_rack_temp_1,31.3125,2026-07-13T08:10:27.781Z
sensor.buro_rack_monitor_rack_temp_1,31.375,2026-07-13T08:10:57.767Z
sensor.buro_rack_monitor_rack_temp_1,31.3125,2026-07-13T08:11:12.768Z
sensor.buro_rack_monitor_rack_temp_1,31.375,2026-07-13T08:11:27.768Z
sensor.buro_rack_monitor_rack_temp_1,31.3125,2026-07-13T08:12:12.770Z
sensor.buro_rack_monitor_rack_temp_1,31.375,2026-07-13T08:12:27.768Z
sensor.buro_rack_monitor_rack_temp_1,31.4375,2026-07-13T08:15:42.769Z
sensor.buro_rack_monitor_rack_temp_1,31.375,2026-07-13T08:15:57.769Z
sensor.buro_rack_monitor_rack_temp_1,31.4375,2026-07-13T08:16:27.774Z
sensor.buro_rack_monitor_rack_temp_1,31.375,2026-07-13T08:17:57.770Z
sensor.buro_rack_monitor_rack_temp_1,31.4375,2026-07-13T08:20:27.773Z
sensor.buro_rack_monitor_rack_temp_1,31.375,2026-07-13T08:20:42.797Z
sensor.buro_rack_monitor_rack_temp_1,31.4375,2026-07-13T08:20:57.777Z
sensor.buro_rack_monitor_rack_temp_1,31.375,2026-07-13T08:21:57.771Z
sensor.buro_rack_monitor_rack_temp_1,31.4375,2026-07-13T08:22:12.776Z
sensor.buro_rack_monitor_rack_temp_1,31.5,2026-07-13T08:23:27.771Z
sensor.buro_rack_monitor_rack_temp_1,31.4375,2026-07-13T08:23:42.772Z
sensor.buro_rack_monitor_rack_temp_1,31.5,2026-07-13T08:24:42.772Z
sensor.buro_rack_monitor_rack_temp_1,31.25,2026-07-13T08:25:42.866Z
sensor.buro_rack_monitor_rack_temp_1,31.0625,2026-07-13T08:25:57.777Z
sensor.buro_rack_monitor_rack_temp_1,30.875,2026-07-13T08:26:12.795Z
sensor.buro_rack_monitor_rack_temp_1,30.75,2026-07-13T08:26:27.777Z
sensor.buro_rack_monitor_rack_temp_1,30.625,2026-07-13T08:26:42.905Z
sensor.buro_rack_monitor_rack_temp_1,30.5,2026-07-13T08:26:57.777Z
sensor.buro_rack_monitor_rack_temp_1,30.375,2026-07-13T08:27:12.860Z
sensor.buro_rack_monitor_rack_temp_1,30.3125,2026-07-13T08:27:27.778Z
sensor.buro_rack_monitor_rack_temp_1,30.1875,2026-07-13T08:27:42.808Z
sensor.buro_rack_monitor_rack_temp_1,30.125,2026-07-13T08:27:57.778Z
sensor.buro_rack_monitor_rack_temp_1,30.0,2026-07-13T08:28:12.794Z
sensor.buro_rack_monitor_rack_temp_1,29.9375,2026-07-13T08:28:42.798Z
sensor.buro_rack_monitor_rack_temp_1,29.875,2026-07-13T08:28:57.776Z
sensor.buro_rack_monitor_rack_temp_1,29.8125,2026-07-13T08:29:12.805Z
sensor.buro_rack_monitor_rack_temp_1,29.75,2026-07-13T08:29:27.774Z
sensor.buro_rack_monitor_rack_temp_1,29.6875,2026-07-13T08:29:57.777Z
sensor.buro_rack_monitor_rack_temp_1,29.625,2026-07-13T08:30:12.780Z
sensor.buro_rack_monitor_rack_temp_1,29.5625,2026-07-13T08:30:42.786Z
sensor.buro_rack_monitor_rack_temp_1,29.5,2026-07-13T08:31:12.817Z
sensor.buro_rack_monitor_rack_temp_1,29.4375,2026-07-13T08:31:57.774Z
sensor.buro_rack_monitor_rack_temp_1,29.375,2026-07-13T08:32:27.774Z
sensor.buro_rack_monitor_rack_temp_1,29.3125,2026-07-13T08:32:42.775Z
sensor.buro_rack_monitor_rack_temp_1,29.25,2026-07-13T08:33:57.776Z
sensor.buro_rack_monitor_rack_temp_1,29.1875,2026-07-13T08:34:12.892Z
sensor.buro_rack_monitor_rack_temp_1,29.125,2026-07-13T08:34:27.777Z
sensor.buro_rack_monitor_rack_temp_1,29.0625,2026-07-13T08:34:57.777Z
sensor.buro_rack_monitor_rack_temp_1,29.0,2026-07-13T08:35:13.166Z
sensor.buro_rack_monitor_rack_temp_1,29.0625,2026-07-13T08:35:27.781Z
sensor.buro_rack_monitor_rack_temp_1,29.0,2026-07-13T08:35:42.808Z
sensor.buro_rack_monitor_rack_temp_1,28.9375,2026-07-13T08:35:57.785Z
sensor.buro_rack_monitor_rack_temp_1,28.875,2026-07-13T08:36:42.904Z
sensor.buro_rack_monitor_rack_temp_1,28.8125,2026-07-13T08:37:27.776Z
sensor.buro_rack_monitor_rack_temp_1,28.75,2026-07-13T08:38:57.777Z
sensor.buro_rack_monitor_rack_temp_1,28.6875,2026-07-13T08:39:57.777Z
sensor.buro_rack_monitor_rack_temp_1,28.625,2026-07-13T08:40:42.990Z
sensor.buro_rack_monitor_rack_temp_1,28.5625,2026-07-13T08:42:13.300Z
sensor.buro_rack_monitor_rack_temp_1,28.625,2026-07-13T08:42:43.024Z
sensor.buro_rack_monitor_rack_temp_1,28.5625,2026-07-13T08:42:57.779Z
sensor.buro_rack_monitor_rack_temp_1,28.5,2026-07-13T08:44:13.210Z
sensor.buro_rack_monitor_rack_temp_1,28.4375,2026-07-13T08:45:12.940Z
sensor.buro_rack_monitor_rack_temp_1,28.5,2026-07-13T08:45:27.780Z
sensor.buro_rack_monitor_rack_temp_1,28.4375,2026-07-13T08:45:57.935Z
sensor.buro_rack_monitor_rack_temp_1,28.375,2026-07-13T08:47:58.604Z
sensor.buro_rack_monitor_rack_temp_1,28.4375,2026-07-13T08:48:12.783Z
sensor.buro_rack_monitor_rack_temp_1,28.375,2026-07-13T08:48:27.926Z
sensor.buro_rack_monitor_rack_temp_1,28.3125,2026-07-13T08:49:12.784Z
sensor.buro_rack_monitor_rack_temp_1,28.25,2026-07-13T08:54:42.786Z
sensor.buro_rack_monitor_rack_temp_1,28.1875,2026-07-13T08:58:42.785Z
sensor.buro_rack_monitor_rack_temp_1,28.25,2026-07-13T08:59:12.784Z
sensor.buro_rack_monitor_rack_temp_1,28.1875,2026-07-13T08:59:28.053Z
sensor.buro_rack_monitor_rack_temp_1,28.25,2026-07-13T08:59:42.981Z
sensor.buro_rack_monitor_rack_temp_1,28.1875,2026-07-13T08:59:58.044Z
sensor.buro_rack_monitor_rack_temp_1,28.25,2026-07-13T09:00:27.959Z
sensor.buro_rack_monitor_rack_temp_1,28.1875,2026-07-13T09:00:42.784Z
sensor.buro_rack_monitor_rack_temp_1,28.125,2026-07-13T09:02:58.349Z
sensor.buro_rack_monitor_rack_temp_1,28.1875,2026-07-13T09:03:12.785Z
sensor.buro_rack_monitor_rack_temp_1,28.125,2026-07-13T09:03:58.056Z
sensor.buro_rack_monitor_rack_temp_1,28.1875,2026-07-13T09:04:12.786Z
sensor.buro_rack_monitor_rack_temp_1,28.125,2026-07-13T09:04:28.237Z
sensor.buro_rack_monitor_rack_temp_1,28.1875,2026-07-13T09:04:58.004Z
sensor.buro_rack_monitor_rack_temp_1,28.125,2026-07-13T09:05:12.787Z
sensor.buro_rack_monitor_rack_temp_1,28.1875,2026-07-13T09:09:57.810Z
sensor.buro_rack_monitor_rack_temp_1,28.125,2026-07-13T09:10:12.787Z
sensor.buro_rack_monitor_rack_temp_1,28.0625,2026-07-13T09:14:27.792Z
sensor.buro_rack_monitor_rack_temp_1,28.125,2026-07-13T09:14:57.790Z
sensor.buro_rack_monitor_rack_temp_1,28.0625,2026-07-13T09:19:12.790Z
sensor.buro_rack_monitor_rack_temp_1,28.125,2026-07-13T09:19:27.790Z
sensor.buro_rack_monitor_rack_temp_1,28.0625,2026-07-13T09:22:57.791Z
sensor.buro_rack_monitor_rack_temp_1,28.125,2026-07-13T09:23:12.793Z
sensor.buro_rack_monitor_rack_temp_1,28.1875,2026-07-13T09:25:42.941Z
sensor.buro_rack_monitor_rack_temp_1,28.125,2026-07-13T09:26:12.819Z
sensor.buro_rack_monitor_rack_temp_1,28.25,2026-07-13T09:26:27.792Z
sensor.buro_rack_monitor_rack_temp_1,28.4375,2026-07-13T09:26:42.808Z
sensor.buro_rack_monitor_rack_temp_1,28.5,2026-07-13T09:26:57.793Z
sensor.buro_rack_monitor_rack_temp_1,28.625,2026-07-13T09:27:13.024Z
sensor.buro_rack_monitor_rack_temp_1,28.6875,2026-07-13T09:27:27.794Z
sensor.buro_rack_monitor_rack_temp_1,28.8125,2026-07-13T09:27:43.077Z
sensor.buro_rack_monitor_rack_temp_1,28.875,2026-07-13T09:27:57.792Z
sensor.buro_rack_monitor_rack_temp_1,28.9375,2026-07-13T09:28:12.893Z
sensor.buro_rack_monitor_rack_temp_1,29.0,2026-07-13T09:28:27.794Z
sensor.buro_rack_monitor_rack_temp_1,29.0625,2026-07-13T09:28:42.803Z
sensor.buro_rack_monitor_rack_temp_1,29.125,2026-07-13T09:28:57.809Z
sensor.buro_rack_monitor_rack_temp_1,29.1875,2026-07-13T09:29:12.883Z
sensor.buro_rack_monitor_rack_temp_1,29.25,2026-07-13T09:29:27.793Z
sensor.buro_rack_monitor_rack_temp_1,29.3125,2026-07-13T09:29:57.793Z
